SPECTRUM - MS
20210126_ADHclean.RAW
FTMS + p NSI Full ms [1500.0000-15000.0000]
Scan #: 5-162
RT: 0.13-3.89
AV: 150
Data points: 51817
Mass	Intensity
1577.292234	6.197508
1577.325857	5.808024
1577.359481	5.423765
1577.393106	5.679868
1577.426733	5.934806
1577.460360	5.198013
1577.493988	4.459760
1577.527618	3.301956
1577.561248	2.143507
1577.594880	1.069456
1577.628513	0.000000
1577.662146	1.546354
1577.695781	3.469643
1577.729417	5.534631
1577.763054	6.633218
1577.796692	5.864203
1577.830331	3.429762
1577.863971	1.552717
1577.897613	0.000000
1577.931255	0.000000
1577.964899	0.000000
1577.998543	0.000000
1578.166782	0.000000
1578.200433	0.000000
1578.234085	0.000000
1578.267738	0.000000
1578.301392	3.196260
1578.335047	8.080733
1578.368704	11.397466
1578.402361	11.203643
1578.436020	7.490619
1578.469679	2.783911
1578.503340	0.000000
1578.537002	0.000000
1578.570664	0.000000
1578.604328	0.000000
1578.637993	0.000000
1578.671659	2.048563
1578.705326	4.851150
1578.738995	6.914167
1578.772664	6.801962
1578.806334	4.618460
1578.840006	1.688076
1578.873678	0.000000
1578.907352	0.000000
1578.941026	0.000000
1578.974702	0.000000
1579.176779	0.000000
1579.210462	0.000000
1579.244147	0.000000
1579.277832	0.000000
1579.311519	1.385854
1579.345206	2.804259
1579.378895	3.373256
1579.412585	2.911655
1579.446275	1.849470
1579.479967	0.000000
1579.513660	0.000000
1579.547354	1.582681
1579.581049	3.100394
1579.614746	3.771834
1579.648443	3.034473
1579.682141	1.457880
1579.715841	0.000000
1579.749541	0.000000
1579.783243	0.000000
1579.816946	0.000000
1579.884354	0.000000
1579.918060	0.000000
1579.951767	0.000000
1579.985475	0.000000
1580.019184	1.142281
1580.052895	2.285435
1580.086606	3.609679
1580.120318	4.934097
1580.154032	5.657983
1580.187746	6.381452
1580.221462	5.964412
1580.255179	5.546525
1580.288896	4.368699
1580.322615	3.190279
1580.356335	1.591895
1580.390056	0.000000
